;Date;Production;Prediction
450;2023-08-21;1227445865.8866093;1
451;2023-08-28;1207151932.7961175;1
452;2023-09-04;1131113200.3236089;1
453;2023-09-11;1158083302.9353993;1
454;2023-09-18;1084140690.4403667;1
455;2023-09-25;1020492424.6484929;1
456;2023-10-02;1021501696.8352557;1
457;2023-10-09;1034493622.5256095;1
458;2023-10-16;989930174.8775067;1
459;2023-10-23;1015265994.7920096;1
460;2023-10-30;1030773460.3364934;1
461;2023-11-06;1008252864.4337943;1
462;2023-11-13;1042750315.9933777;1
463;2023-11-20;1023893108.1983479;1
464;2023-11-27;1029230893.6609224;1
465;2023-12-04;1096337866.6050162;1
466;2023-12-11;1132468482.5026937;1
467;2023-12-18;1120330764.3556848;1
468;2023-12-25;923621459.9211019;1
469;2024-01-01;937888448.1877561;1
470;2024-01-08;1069782716.1383647;1
471;2024-01-15;1119621402.5518665;1
472;2024-01-22;1254930339.2162464;1
473;2024-01-29;1215382549.983574;1
474;2024-02-05;1078670383.4064863;1
475;2024-02-12;1154139617.2558718;1
476;2024-02-19;1028679223.0427114;1
477;2024-02-26;1093014189.4338057;1
478;2024-03-04;1105685739.8494592;1
479;2024-03-11;1013592289.2755443;1
480;2024-03-18;1050086077.8586408;1
481;2024-03-25;1018574112.3580755;1
482;2024-04-01;1099702730.5019393;1
483;2024-04-08;1081434767.1220148;1
484;2024-04-15;1039927506.3309733;1
485;2024-04-22;1089517711.887151;1
486;2024-04-29;1113275138.9606693;1
487;2024-05-06;1148325785.788459;1
488;2024-05-13;1242507598.3277757;1
489;2024-05-20;1243064672.022886;1
490;2024-05-27;1131209763.9547749;1
491;2024-06-03;1143594376.8849897;1
492;2024-06-10;1188394848.4831069;1
493;2024-06-17;1198226600.533736;1
494;2024-06-24;1271379190.681526;1
495;2024-07-01;1292844232.2903118;1
496;2024-07-08;1283208492.061159;1
497;2024-07-15;1328973300.8554726;1
498;2024-07-22;1353875731.2348464;1
499;2024-07-29;1293561919.7474577;1
500;2024-08-05;1214939626.239891;1
501;2024-08-12;1252575412.3814151;1
502;2024-08-19;1226971049.3495593;1
503;2024-08-26;1206220782.2248995;1
504;2024-09-02;1130463027.2727087;1
505;2024-09-09;1156827961.1453094;1
506;2024-09-16;1083350312.6706061;1
507;2024-09-23;1019889638.3341087;1
508;2024-09-30;1020715107.5901033;1
509;2024-10-07;1033956746.2208527;1
510;2024-10-14;989694454.5385104;1
511;2024-10-21;1014645607.1187917;1
512;2024-10-28;1029301126.4811132;1
513;2024-11-04;1008283311.4174428;1
514;2024-11-11;1042741994.3118725;1
515;2024-11-18;1024121940.0545774;1
516;2024-11-25;1029662849.5739716;1
517;2024-12-02;1096063348.6998668;1
518;2024-12-09;1132242767.1284823;1
519;2024-12-16;1119360310.599863;1
520;2024-12-23;923592649.2188847;1
521;2024-12-30;937800946.4952002;1
522;2025-01-06;1070429965.2544376;1
523;2025-01-13;1120358090.5029504;1
524;2025-01-20;1254102886.665969;1
525;2025-01-27;1214457724.8450494;1
526;2025-02-03;1078606278.114762;1
527;2025-02-10;1153654069.0737157;1
528;2025-02-17;1028731820.2527804;1
529;2025-02-24;1092837743.6807358;1
530;2025-03-03;1105532496.0034862;1
531;2025-03-10;1013459946.4267398;1
532;2025-03-17;1049968141.4617314;1
533;2025-03-24;1018471888.7254552;1
534;2025-03-31;1099609738.4808064;1
535;2025-04-07;1081357257.2747939;1
536;2025-04-14;1039858686.3999906;1
537;2025-04-21;1089455856.9494991;1
538;2025-04-28;1113223939.702901;1
539;2025-05-05;1148280948.485762;1
540;2025-05-12;1242467659.0825927;1
541;2025-05-19;1243025259.5983334;1
542;2025-05-26;1131179174.9283106;1
543;2025-06-02;1143570628.7783425;1
544;2025-06-09;1188374876.2027912;1
545;2025-06-16;1198212894.8208232;1
546;2025-06-23;1271368416.9624317;1
547;2025-06-30;1292834356.1792054;1
548;2025-07-07;1283202338.5152667;1
549;2025-07-14;1328963217.363586;1
550;2025-07-21;1353862165.8399403;1
551;2025-07-28;1293552769.1002944;1
552;2025-08-04;1214933511.3827865;1
553;2025-08-11;1252569489.5681744;1
554;2025-08-18;1226967070.9497979;1
555;2025-08-25;1206213760.4999905;1
556;2025-09-01;1130458014.2380364;1
557;2025-09-08;1156818861.2810872;1
558;2025-09-15;1083344466.315271;1
559;2025-09-22;1019885133.0336759;1
560;2025-09-29;1020709386.1636975;1
561;2025-10-06;1033952779.9883344;1
562;2025-10-13;989692591.6968596;1
563;2025-10-20;1014641133.3848917;1
564;2025-10-27;1029290828.9699092;1
565;2025-11-03;1008283357.647863;1
566;2025-11-10;1042741794.8430943;1
567;2025-11-17;1024123387.1707791;1
568;2025-11-24;1029665707.3161118;1
569;2025-12-01;1096061368.4940033;1
570;2025-12-08;1132241134.0494666;1
571;2025-12-15;1119353573.5538964;1
572;2025-12-22;923592387.9840211;1
573;2025-12-29;937800290.1983812;1
574;2026-01-05;1070434361.7896023;1
575;2026-01-12;1120363107.3572655;1
576;2026-01-19;1254097167.2370164;1
577;2026-01-26;1214451341.3789327;1
578;2026-02-02;1078605809.651644;1
579;2026-02-09;1153650709.9430466;1
580;2026-02-16;1028732159.9063168;1
581;2026-02-23;1092836513.1174307;1
582;2026-03-02;1105531427.1532302;1
583;2026-03-09;1013459023.1885617;1
584;2026-03-16;1049967318.9729768;1
585;2026-03-23;1018471175.7283033;1
586;2026-03-30;1099609090.2664633;1
587;2026-04-06;1081356716.5937886;1
588;2026-04-13;1039858206.4543008;1
589;2026-04-20;1089455425.759905;1
590;2026-04-27;1113223582.4983063;1
591;2026-05-04;1148280635.6774309;1
592;2026-05-11;1242467380.5282693;1
593;2026-05-18;1243024985.2010577;1
594;2026-05-25;1131178961.5962055;1
595;2026-06-01;1143570462.8374615;1
596;2026-06-08;1188374736.5519042;1
597;2026-06-15;1198212798.5195282;1
598;2026-06-22;1271368341.0711377;1
599;2026-06-29;1292834286.6922653;1
600;2026-07-06;1283202294.8025796;1
601;2026-07-13;1328963146.8456395;1
602;2026-07-20;1353862071.5705101;1
603;2026-07-27;1293552705.28883;1
604;2026-08-03;1214933468.541739;1
605;2026-08-10;1252569448.152897;1
606;2026-08-17;1226967042.9810712;1
607;2026-08-24;1206213711.7131078;1
