;Date;Consumption;Prediction
492;2024-06-10;1139059823.3740814;1
493;2024-06-17;1074590987.977545;1
494;2024-06-24;1132240467.3142574;1
495;2024-07-01;1124383828.4937403;1
496;2024-07-08;1081623989.3305416;1
497;2024-07-15;1067065093.840839;1
498;2024-07-22;1044003442.7398521;1
499;2024-07-29;988056655.3938724;1
500;2024-08-05;1032737406.4649386;1
501;2024-08-12;1028563738.3687322;1
502;2024-08-19;1093573452.8798602;1
503;2024-08-26;1069094438.2592342;1
504;2024-09-02;1093516977.5302784;1
505;2024-09-09;1064589236.8428223;1
506;2024-09-16;1127849133.84827;1
507;2024-09-23;1065328386.2066715;1
508;2024-09-30;1190411890.4128976;1
509;2024-10-07;1122793287.258416;1
510;2024-10-14;1100046877.9864502;1
511;2024-10-21;1156782466.356196;1
512;2024-10-28;1086243989.6600487;1
513;2024-11-04;1185205517.9516191;1
514;2024-11-11;1177817145.1629238;1
515;2024-11-18;1244558141.3282795;1
516;2024-11-25;1299309609.2262144;1
517;2024-12-02;1340142087.7877252;1
518;2024-12-09;1396379256.9541478;1
519;2024-12-16;1398593218.3371959;1
520;2024-12-23;1284585139.3586047;1
521;2024-12-30;1156420761.4422832;1
522;2025-01-06;1201356821.7607725;1
523;2025-01-13;1301950757.6445246;1
524;2025-01-20;1410821098.430174;1
525;2025-01-27;1386491363.4720254;1
526;2025-02-03;1328886702.9360988;1
527;2025-02-10;1296084971.524654;1
528;2025-02-17;1212982254.5268197;1
529;2025-02-24;1187966297.9665003;1
530;2025-03-03;1217627634.2388108;1
531;2025-03-10;1244812116.6712155;1
532;2025-03-17;1236368791.5643718;1
533;2025-03-24;1195566277.6449826;1
534;2025-03-31;1237625011.2989836;1
535;2025-04-07;1243048632.8474307;1
536;2025-04-14;1090554585.1561632;1
537;2025-04-21;1122377211.268312;1
538;2025-04-28;1143492527.1300051;1
539;2025-05-05;1105753427.3338628;1
540;2025-05-12;1113641162.015144;1
541;2025-05-19;1104844363.650884;1
542;2025-05-26;1091125347.894139;1
543;2025-06-02;1123133292.1173313;1
544;2025-06-09;1148480892.2911153;1
545;2025-06-16;1085533399.256885;1
546;2025-06-23;1142987927.8322937;1
547;2025-06-30;1133120330.5163672;1
548;2025-07-07;1090970094.51232;1
549;2025-07-14;1078185452.696307;1
550;2025-07-21;1054545596.2762907;1
551;2025-07-28;997187621.6953604;1
552;2025-08-04;1042362031.8944137;1
553;2025-08-11;1037968103.5166689;1
554;2025-08-18;1101912517.4227116;1
555;2025-08-25;1078524144.0316298;1
556;2025-09-01;1102895406.3810735;1
557;2025-09-08;1075890177.3867953;1
558;2025-09-15;1138999709.4800074;1
559;2025-09-22;1076048725.556654;1
560;2025-09-29;1199348740.9416144;1
561;2025-10-06;1133849270.0843656;1
562;2025-10-13;1110749839.114982;1
